expo,table,project,sponsors,link,cortex,et
2,64,SickComm,"Concur - Best Travel Hack, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/58781-sickcomm,Social Impact,264
2,65,Big Data Camera,"#HackHarrassment, Microsoft - Best use of Microsoft Technology",http://mhacks8.devpost.com/submissions/58794-big-data-camera,Social Impact,265
2,67,Safe Walkr,"Linode - Best Use of Linode Services, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/58842-safe-walkr,Social Impact,267
2,68,BiteShare,Facebook - Most Open and Connected App,http://mhacks8.devpost.com/submissions/58847-biteshare,Social Impact,268
2,69,Pool I/O,"Esri - Best use of Esri Technology, Microsoft - Best use of Microsoft Technology, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/58880-pool-i-o,Social Impact,269
2,70,Sound Sense,"Microsoft - Best use of Microsoft Technology, Ford - Best Hack for Go Detroit Challenge, General Electric - Best IoT hack -- use of sensors, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/58953-sound-sense,Social Impact,270
2,71,StaySafeWith.me,"Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/58962-staysafewith-me,Social Impact,271
2,72,Relay,"Linode - Best Use of Linode Services, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59074-relay,Social Impact,272
2,73,GoDetroit!,"Facebook - Most Open and Connected App, Amazon Web Services - Best Use of AWS, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59106-godetroit,Social Impact,273
2,74,HackMyHaploid,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/59118-hackmyhaploid,Social Impact,274
2,75,AlexaAtWork,"Facebook - Most Open and Connected App, Amazon Web Services - Best Use of AWS, Amazon - Best Voice User Experience Using Amazon Alexa",http://mhacks8.devpost.com/submissions/59126-alexaatwork,Social Impact,275
2,76,Ocupado,"General Electric - Best IoT hack -- use of sensors, Microsoft - Best use of Microsoft Technology",http://mhacks8.devpost.com/submissions/59132-ocupado,Social Impact,276
2,77,ParentLock,"Microsoft - Best use of Microsoft Technology, Amazon Web Services - Best Use of AWS, Concur - Best Travel Hack, Esri - Best use of Esri Technology, Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59136-parentlock,Social Impact,277
2,78,Adherence ,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/59138-adherence,Social Impact,278
2,79,First Steps ,,http://mhacks8.devpost.com/submissions/59151-first-steps,Social Impact,279
2,80,Myo Muscle,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/59154-myo-muscle,Social Impact,280
2,81,OPTECH,,http://mhacks8.devpost.com/submissions/59161-optech,Social Impact,281
2,82,TheraTech,"Wellopp - Best Wellness App or Game, Linode - Best Use of Linode Services, Microsoft - Best use of Microsoft Technology",http://mhacks8.devpost.com/submissions/59168-theratech,Social Impact,282
2,83,Fuelr,"Microsoft - Best use of Microsoft Technology, Best Domain Name from Domain.com, Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59169-fuelr,Social Impact,283
2,84,CrowdSource,"Microsoft - Best use of Microsoft Technology, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59180-crowdsource,Social Impact,284
2,85,Connect,"General Electric - Best IoT hack -- use of sensors, Microsoft - Best use of Microsoft Technology, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/59183-connect,Social Impact,285
2,86,Heath.me,"Best Use of Wolfram Technologies , Wellopp - Best Wellness App or Game, Best Domain Name from Domain.com, Ford - Best Hack for Go Detroit Challenge",http://mhacks8.devpost.com/submissions/59193-heath-me,Social Impact,286
2,87,Botyonce,Microsoft - Best use of Microsoft Technology,http://mhacks8.devpost.com/submissions/59210-botyonce,Social Impact,287
2,88,SafeGlass,"Amazon Web Services - Best Use of AWS, Amazon - Best Voice User Experience Using Amazon Alexa, Concur - Best Travel Hack, Esri - Best use of Esri Technology, Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59220-safeglass,Social Impact,288
2,89,InnerView,Microsoft - Best use of Microsoft Technology,http://mhacks8.devpost.com/submissions/59256-innerview,Social Impact,289
2,90,CutTheConsumption,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/58688-cuttheconsumption,,290
2,91,FriendCluster,"Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/58696-friendcluster,,291
2,92,Foodings,,http://mhacks8.devpost.com/submissions/58782-foodings,,292
2,93,3 Dimensional Linear Rotations,,http://mhacks8.devpost.com/submissions/58799-3-dimensional-linear-rotations,,293
2,94,Power Mode Turbo,,http://mhacks8.devpost.com/submissions/58956-power-mode-turbo,,294
2,95,Usnavi - Coffee,"BlackRock - Best use of the Aladdin API, Microsoft - Best use of Microsoft Technology, Facebook - Most Open and Connected App",http://mhacks8.devpost.com/submissions/58965-usnavi-coffee,,295
2,96,Python game(turtle),,http://mhacks8.devpost.com/submissions/58972-python-game-turtle,,296
2,97,vgrep,"Amazon Web Services - Best Use of AWS, Microsoft - Best use of Microsoft Technology",http://mhacks8.devpost.com/submissions/58982-vgrep,,297
2,98,Looply,,http://mhacks8.devpost.com/submissions/59002-looply,,298
2,99,Vocabulary Builder on GM cars, General Motors - Most badass in-vehicle idea,http://mhacks8.devpost.com/submissions/59019-vocabulary-builder-on-gm-cars,,299
2,100,Stroke of Genius,"General Electric - Best IoT hack -- use of sensors, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/59095-stroke-of-genius,,2100
2,101,AcceleRhythm,"General Electric - Best IoT hack -- use of sensors, Facebook - Most Open and Connected App, Concur - Best Travel Hack, Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59102-accelerhythm,,2101
2,102,"Rally: A Simple, Fun badminton Game",,http://mhacks8.devpost.com/submissions/59107-rally-a-simple-fun-badminton-game,,2102
2,103,Jammin,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/59108-jammin,,2103
2,104,EZHelp,,http://mhacks8.devpost.com/submissions/59182-ezhelp,,2104
2,105,Epinephrine,,http://mhacks8.devpost.com/submissions/59195-epinephrine,,2105
2,106,Mhacare,,http://mhacks8.devpost.com/submissions/59215-mhacare,,2106
2,107,SpeedPal,"Ford - Best Hack for Go Detroit Challenge,  General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59221-speedpal,,2107
2,108,Discord Recorder,,http://mhacks8.devpost.com/submissions/59222-discord-recorder,,2108
2,109,Pebble Plant,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/59274-pebble-plant,Social Impact,2109
2,110,FuelAware,"Ford - Best Hack for Go Detroit Challenge, General Motors - Most badass in-vehicle idea",http://mhacks8.devpost.com/submissions/59275-fuelaware,,2110
2,111,MediDock,Wellopp - Best Wellness App or Game,http://mhacks8.devpost.com/submissions/58826-medidock,Mobile,2111
2,112,Mogenio,"Facebook - Most Open and Connected App, Microsoft - Best use of Microsoft Technology, Wellopp - Best Wellness App or Game",http://mhacks8.devpost.com/submissions/59278-mogenio,,2112
